muertes;persona_anio;grupo_edad;periodo;comienzo;arsenico
7;4411;60-69;1950-1959;1925 y post;15+ años
6;19459;60-69;1950-1959;< 1925;<1 año
0;2035;60-69;1950-1959;< 1925;1-4 años
1;1564;60-69;1950-1959;< 1925;5-14 años
0;381;60-69;1950-1959;< 1925;15+ años
10;15017;60-69;1960-1969;1925 y post;<1 año
4;2348;60-69;1960-1969;1925 y post;1-4 años
3;1909;60-69;1960-1969;1925 y post;5-14 años
3;2448;60-69;1960-1969;1925 y post;15+ años
12;40887;60-69;1960-1969;< 1925;<1 año
7;7128;60-69;1960-1969;< 1925;1-4 años
3;3907;60-69;1960-1969;< 1925;5-14 años
2;1908;60-69;1960-1969;< 1925;15+ años
1;4402;60-69;1970-1977;1925 y post;<1 año
3;1013;60-69;1970-1977;1925 y post;1-4 años
1;1008;60-69;1970-1977;1925 y post;5-14 años
1;1006;60-69;1970-1977;1925 y post;15+ años
19;51000;60-69;1970-1977;< 1925;<1 año
6;10528;60-69;1970-1977;< 1925;1-4 años
4;6218;60-69;1970-1977;< 1925;5-14 años
0;4191;60-69;1970-1977;< 1925;15+ años
3;8336;70-79;1938-1949;1925 y post;<1 año
0;1103;70-79;1938-1949;1925 y post;1-4 años
0;1587;70-79;1938-1949;1925 y post;5-14 años
1;2772;70-79;1938-1949;1925 y post;15+ años
0;1142;70-79;1938-1949;< 1925;<1 año
0;42;70-79;1938-1949;< 1925;1-4 años
0;90;70-79;1938-1949;< 1925;5-14 años
6;9733;70-79;1950-1959;1925 y post;<1 año
1;546;70-79;1950-1959;1925 y post;1-4 años
1;1083;70-79;1950-1959;1925 y post;5-14 años
2;2683;70-79;1950-1959;1925 y post;15+ años
1;3584;70-79;1950-1959;< 1925;<1 año
0;384;70-79;1950-1959;< 1925;1-4 años
1;392;70-79;1950-1959;< 1925;5-14 años
0;106;70-79;1950-1959;< 1925;15+ años
6;10271;70-79;1960-1969;1925 y post;<1 año
2;1056;70-79;1960-1969;1925 y post;1-4 años
0;547;70-79;1960-1969;1925 y post;5-14 años
1;1972;70-79;1960-1969;1925 y post;15+ años
5;10979;70-79;1960-1969;< 1925;<1 año
0;1276;70-79;1960-1969;< 1925;1-4 años
0;685;70-79;1960-1969;< 1925;5-14 años
1;454;70-79;1960-1969;< 1925;15+ años
6;6744;70-79;1970-1977;1925 y post;<1 año
1;971;70-79;1970-1977;1925 y post;1-4 años
2;940;70-79;1970-1977;1925 y post;5-14 años
2;927;70-79;1970-1977;1925 y post;15+ años
14;17635;70-79;1970-1977;< 1925;<1 año
2;3247;70-79;1970-1977;< 1925;1-4 años
0;1802;70-79;1970-1977;< 1925;5-14 años
0;1144;70-79;1970-1977;< 1925;15+ años
