condado;estado;tasa_mortalidad;mediana_edad;mediana_edad_cat;mediana_ingresos;pct_pobreza;pct_salud_publica;pct_sec_incompleta;pct_desempleo
York County;Maine;173,7;44,1;40-45 años;55482;11,2;15,7;9,3;5,9
Barnstable County;Massachusetts;163;51,3;45+ años;64150;8,9;18,9;11,5;7
Berkshire County;Massachusetts;157;45,8;45+ años;49890;13;22,6;13,5;8,9
Addison County;Vermont;173,3;42,8;40-45 años;59089;9,5;22,8;6;5,8
Bennington County;Vermont;176,1;46,1;45+ años;44674;14,4;28;10,7;5,7
Caledonia County;Vermont;184,3;43,1;40-45 años;45029;13,9;29;12,1;7,2
Chittenden County;Vermont;159;36,3;23-35 años;61908;11;15,6;6,5;5
Essex County;Vermont;171,3;48,8;45+ años;35570;19,6;29,2;18,6;9,4
Franklin County;Vermont;187,8;39,9;23-35 años;59184;9,1;23,2;12;4,9
Grand Isle County;Vermont;206,1;47,1;45+ años;60081;9,1;22,9;11,9;7,4
Lamoille County;Vermont;173,7;40,5;36-39 años;49142;12,6;23,8;9,3;4,3
Orange County;Vermont;175,5;45;45+ años;53025;12,8;23,3;12,7;4,5
Orleans County;Vermont;172;44,8;45+ años;42089;16,2;32,5;15,4;5,6
Rutland County;Vermont;178,8;45,5;45+ años;44888;13,5;24,2;9,1;6,6
Washington County;Vermont;165,8;43,2;40-45 años;58673;11;20,4;9,4;4,8
Windham County;Vermont;183,7;45,8;45+ años;49616;12,9;26,7;11,9;6,8
Windsor County;Vermont;160,4;46,8;45+ años;51513;12,1;22,4;17,1;5,1
Bristol County;Massachusetts;173,9;40,6;36-39 años;57732;12,4;21,9;12,9;9
Dukes County;Massachusetts;160;45,9;45+ años;61259;9;19,9;6,7;5,2
Essex County;Massachusetts;161,5;40,6;36-39 años;70074;10,7;21,4;14,7;7,7
Franklin County;Massachusetts;153,9;45,1;45+ años;53953;12;19;12,9;6,7
Hampden County;Massachusetts;180;38,6;23-35 años;49072;17,7;29,2;17,5;10
Hampshire County;Massachusetts;164,4;35,9;23-35 años;57737;15;15,3;4,6;7,2
Middlesex County;Massachusetts;159,6;38,5;23-35 años;84026;8,9;13,9;9,2;6,1
Nantucket County;Massachusetts;146,9;39,5;23-35 años;82596;7,1;17,1;19,8;3
Norfolk County;Massachusetts;160,9;40,9;36-39 años;90039;6,5;12,1;8,7;6,9
Plymouth County;Massachusetts;176;42,1;36-39 años;74576;8,5;17,4;11,1;7,9
Suffolk County;Massachusetts;178,6;32,2;23-35 años;54280;21,5;26,3;8;8,7
Worcester County;Massachusetts;171,5;39,8;23-35 años;65217;11,5;19,4;10,9;7,8
Fairfield County;Connecticut;142;39,7;23-35 años;85336;9;15,7;14,8;9
Hartford County;Connecticut;157,5;40,1;36-39 años;65809;12,2;19,5;14;9,3
Litchfield County;Connecticut;151,2;46;45+ años;73413;7,7;15,5;11,7;7,1
Middlesex County;Connecticut;154,9;44,2;40-45 años;76365;7,9;12,7;9,2;6
New Haven County;Connecticut;169;39,8;23-35 años;60387;13;20,6;12,6;9,5
New London County;Connecticut;162,6;40,7;36-39 años;65813;11,1;17,5;8,7;8,3
Tolland County;Connecticut;152,3;38,1;23-35 años;78653;7,5;11,8;5,1;6,8
Windham County;Connecticut;172,2;40,4;36-39 años;57547;10,3;21;9,1;9,3
Adams County;Pennsylvania;165,3;42,8;40-45 años;60179;10,8;11,4;11,4;5,7
Allegheny County;Pennsylvania;182,1;40,9;36-39 años;52385;13,1;14;10,2;7,1
Armstrong County;Pennsylvania;171,1;45,6;45+ años;44326;13,8;16,9;15,2;8,5
Beaver County;Pennsylvania;180,2;44,8;45+ años;51041;11,7;16,8;12,7;6,8
Bedford County;Pennsylvania;151,2;45;45+ años;46890;13,6;15,3;18,6;7,3
Berks County;Pennsylvania;162,4;39,7;23-35 años;55936;14,3;17,4;13,9;9
Blair County;Pennsylvania;179,4;42,8;40-45 años;43343;15;18,7;8,4;6,4
Bradford County;Pennsylvania;183,8;44,1;40-45 años;47242;12,9;17,4;21,7;5,6
Bucks County;Pennsylvania;168,7;43;40-45 años;77823;6,6;9,3;10,9;7
Butler County;Pennsylvania;169,7;42,7;40-45 años;60851;8,9;11,2;8,9;5,9
Cambria County;Pennsylvania;168,5;44,4;40-45 años;42703;15,3;17,6;9,1;8,5
Cameron County;Pennsylvania;159,6;49,9;45+ años;40257;14,2;18,2;11,1;4,5
Carbon County;Pennsylvania;191,8;45;45+ años;49252;13;17,4;9,4;8,6
Centre County;Pennsylvania;142,4;30,3;23-35 años;51573;17,9;8,4;3,7;5,1
Chester County;Pennsylvania;159,1;40,1;36-39 años;85613;7,3;9,3;11,4;5,9
Clarion County;Pennsylvania;179,4;40,3;36-39 años;43202;15,1;16,8;8,9;8,1
Clearfield County;Pennsylvania;183;43,9;40-45 años;40230;16,5;21,8;22;7,8
Clinton County;Pennsylvania;196,6;38,1;23-35 años;44224;17,4;17,4;10,6;6,1
Columbia County;Pennsylvania;175,2;40,1;36-39 años;46938;14,3;13,7;8;5,7
Crawford County;Pennsylvania;191,8;42,4;40-45 años;43969;14,9;19,5;16,1;7,2
Cumberland County;Pennsylvania;154,6;40,8;36-39 años;62692;9,1;10,5;11,5;5,6
Dauphin County;Pennsylvania;169,1;39,6;23-35 años;52967;13,4;16,2;18,3;7,1
Delaware County;Pennsylvania;187,4;38,9;23-35 años;62867;11;14,6;11;8,2
Elk County;Pennsylvania;189,9;46,4;45+ años;46965;10,5;16;13,2;5,2
Erie County;Pennsylvania;182,5;38,8;23-35 años;45476;16,4;19,4;12,1;8
Fayette County;Pennsylvania;198,7;44,2;40-45 años;36902;20,2;21,9;18,7;8,4
Forest County;Pennsylvania;206,5;43,3;40-45 años;37794;21,9;18,9;34,2;4,8
Franklin County;Pennsylvania;162,2;40,9;36-39 años;50434;11,9;13,3;18,5;6,9
Fulton County;Pennsylvania;177,5;43,2;40-45 años;48084;13,3;17,9;17,8;7,5
Huntingdon County;Pennsylvania;172,7;42,5;40-45 años;44531;15,1;17,9;9,9;8,1
Indiana County;Pennsylvania;151,6;38,9;23-35 años;42611;17;13,4;7,1;7,8
Jefferson County;Pennsylvania;183,2;43,6;40-45 años;43810;13,3;17,9;16,3;6,4
Juniata County;Pennsylvania;162,9;43;40-45 años;48944;12,3;13,1;24,4;5,7
Lackawanna County;Pennsylvania;178,3;42,3;40-45 años;45098;15,4;17;11;6,9
Lancaster County;Pennsylvania;157,6;38,4;23-35 años;57369;10,5;15;18,9;6,1
Lawrence County;Pennsylvania;186,1;44,4;40-45 años;44903;13,2;20,3;12,8;7
Lebanon County;Pennsylvania;172,8;41,1;36-39 años;53861;10,9;15,3;17,7;6,9
Lehigh County;Pennsylvania;168,4;39,5;23-35 años;58283;12,8;17,9;13,6;8,5
Luzerne County;Pennsylvania;181,1;42,9;40-45 años;44222;15,8;18,1;12,9;7,8
McKean County;Pennsylvania;170,4;42,4;40-45 años;44723;16,6;18,5;15,6;9,1
Mercer County;Pennsylvania;186,7;43,8;40-45 años;43559;14,6;19,2;15;6,8
Mifflin County;Pennsylvania;168,3;43,5;40-45 años;40957;16,3;18,9;24,8;6,4
Monroe County;Pennsylvania;180;41,8;36-39 años;59492;13,3;16;9,7;12
Montgomery County;Pennsylvania;161,8;41,1;36-39 años;79576;7,1;9,6;11,4;6,4
Montour County;Pennsylvania;152,6;42,9;40-45 años;54547;11,2;13,7;14,4;6,6
Northampton County;Pennsylvania;172,7;41,8;36-39 años;61510;10;13,5;9,3;7,3
Perry County;Pennsylvania;189,7;42,1;36-39 años;54920;8,7;11,1;16,8;6,3
Philadelphia County;Pennsylvania;211,7;33,7;23-35 años;39037;25,8;27,6;14,3;13,9
Pike County;Pennsylvania;157,4;46;45+ años;58375;10,6;16,1;13,1;11,6
Potter County;Pennsylvania;191,9;45,8;45+ años;40323;14,3;18,5;15;6,9
Schuylkill County;Pennsylvania;186,6;43,8;40-45 años;43169;13,5;16,6;16,3;8,8
Snyder County;Pennsylvania;159,2;39,3;23-35 años;49117;13,1;13,4;12,6;5
Somerset County;Pennsylvania;159,4;45,3;45+ años;45706;13,5;16,4;13;6,9
Sullivan County;Pennsylvania;186,2;51,8;45+ años;44191;14,4;13,8;28,6;8,7
Susquehanna County;Pennsylvania;163,6;46,4;45+ años;49552;12,8;14,9;17,7;7,7
Tioga County;Pennsylvania;174,7;43;40-45 años;47360;16,3;16,9;12;7,4
Union County;Pennsylvania;144,9;38,6;23-35 años;47996;13,4;13,8;6,9;6,1
Venango County;Pennsylvania;199,4;45,4;45+ años;43810;16,2;20,3;17,9;8,1
Warren County;Pennsylvania;179,3;46,2;45+ años;44651;14,1;14,8;18,6;6,6
Washington County;Pennsylvania;186,3;44,2;40-45 años;55796;10,7;13,3;10,3;6,5
Wayne County;Pennsylvania;179,4;46,5;45+ años;48663;13,9;19;13,7;7,8
Westmoreland County;Pennsylvania;175,3;46,1;45+ años;53536;10,1;14,7;11,6;5,6
Wyoming County;Pennsylvania;191,7;43,1;40-45 años;55882;10,9;16,2;15,7;7,6
York County;Pennsylvania;170,2;40,7;36-39 años;58471;10,2;15;14,4;7,3
Bristol County;Rhode Island;142,2;43,9;40-45 años;68246;8;11,1;4,9;6,8
Kent County;Rhode Island;184,1;43,5;40-45 años;61923;9,3;12,6;11,1;8,2
Newport County;Rhode Island;164;43,9;40-45 años;69203;9,5;11;10;6,9
Providence County;Rhode Island;173,6;37,1;23-35 años;47278;18,3;21,3;12,3;9,5
Oswego County;New York;194,4;39,2;23-35 años;46926;19,6;24,4;10,3;9,7
Otsego County;New York;173,8;41,6;36-39 años;43104;18,9;18,6;7,8;7,1
Putnam County;New York;157,1;42,8;40-45 años;94334;6,3;8,8;8;6,8
Queens County;New York;138,8;37,7;23-35 años;56866;15,4;26,5;13,6;8,6
Rensselaer County;New York;188,4;39,8;23-35 años;59925;13;15,9;7,6;7,6
Richmond County;New York;161,7;39,3;23-35 años;70299;14,5;20,2;10,4;6,9
Rockland County;New York;142,9;36,3;23-35 años;83162;14,7;22,4;15,3;7,9
St. Lawrence County;New York;183,7;37,8;23-35 años;43518;18,9;20,5;11,5;10
Saratoga County;New York;174,2;41,8;36-39 años;71885;7,2;11,2;11,9;6
Schenectady County;New York;175,7;39,9;23-35 años;56508;13,2;19,1;14,5;7,4
Schoharie County;New York;172,8;43,3;40-45 años;48718;15,9;18,6;9,1;10,5
Schuyler County;New York;184,2;45,5;45+ años;48135;15,4;21,8;19,7;6,4
Seneca County;New York;162,7;42,3;40-45 años;49809;14,2;16,3;26,9;5,5
Steuben County;New York;178,7;42;36-39 años;46849;16,6;20,7;17,2;8,2
Suffolk County;New York;163,8;40,6;36-39 años;85886;7,7;12;10,8;6,4
Sullivan County;New York;178,8;42,2;36-39 años;48908;16,3;23,7;20,3;11,5
Tioga County;New York;160,5;43,6;40-45 años;52195;11,4;16,5;13,9;6,9
Tompkins County;New York;159,5;30,2;23-35 años;51880;18,7;13,1;3,1;5,9
Ulster County;New York;170,8;43,1;40-45 años;56718;13,7;17,8;10,6;9,3
Warren County;New York;177,9;45,2;45+ años;54585;13,3;16,8;12,5;6,6
Washington County;New York;198,4;42,9;40-45 años;47547;14,6;19,7;21,2;9,5
Wayne County;New York;175,5;43,1;40-45 años;49191;12,9;18,1;17,9;7,5
Westchester County;New York;145,3;40,3;36-39 años;83152;10,4;14,8;11,9;7,6
Wyoming County;New York;181,1;41,1;36-39 años;53783;12,3;16,1;17;7,4
Yates County;New York;178,4;41,5;36-39 años;48368;14,5;17,2;19,7;6,9
